helics_simulation_time,powerRequired
1734.0,-516.6830139466907
1735.0,-516.6006302524044
1736.0,-516.5182459458933
1737.0,-516.4358630941821
1738.0,-516.3534837642968
1739.0,-516.2711093581115
1740.0,-516.1887419507551
1741.0,-516.1063835997112
1742.0,-516.0240362497068
1743.0,-515.9417018423404
1744.0,-515.859382316083
1745.0,-515.777078891013
1746.0,-515.6947921827185
1747.0,-515.6125247571417
1748.0,-515.5302782348474
1749.0,-515.4480542085037
1750.0,-515.3658542428841
1751.0,-515.2836798748673
1752.0,-515.2015303957567
1753.0,-515.1194080355828
1754.0,-515.0373140776959
1755.0,-514.9552496092858
1756.0,-514.8732156616801
1757.0,-514.7912132103439
1758.0,-514.7092425457022
1759.0,-514.62730390991
1760.0,-514.5453984416334
1761.0,-514.4635266927932
1762.0,-514.3816891422636
1763.0,-514.2998861958756
1764.0,-514.2181181794562
1765.0,-514.1363851065921
1766.0,-514.0546872749823
1767.0,-513.9730247655856
1768.0,-513.8913975833974
1769.0,-513.80980565745
1770.0,-513.7282488408121
1771.0,-513.6467273186748
1772.0,-513.5652409830268
1773.0,-513.4837893405399
1774.0,-513.4023720435127
1775.0,-513.3209886770477
1776.0,-513.2396387590514
1777.0,-513.1583218954064
1778.0,-513.077038580626
1779.0,-512.995787619042
1780.0,-512.9145684307803
1781.0,-512.8333803838862
1782.0,-512.7522227943246
1783.0,-512.6710949259798
1784.0,-512.5899969715044
1785.0,-512.5089282005698
1786.0,-512.4278875943467
1787.0,-512.3468744125612
1788.0,-512.2658878800587
1789.0,-512.1849271868061
1790.0,-512.1039917999026
1791.0,-512.0230818739124
1792.0,-511.942196003233
1793.0,-511.8613334295324
1794.0,-511.7804933763336
1795.0,-511.69967504901695
1796.0,-511.61887763482054
1797.0,-511.5381020639111
1798.0,-511.4573471413874
1799.0,-511.3766119027068
1800.0,-511.2958956786157
1801.0,-511.2218746630503
1802.0,-511.14787003821317
1803.0,-511.0738819240046
1804.0,-510.999909788818
1805.0,-510.9259529743107
1806.0,-510.85201147752156
